node   1  (   0,    0) (   9,    3) (  29,    4) (  44,    6) (  65,   25) (  81,   63) (  81,   85) (  81,   93) (  81,   81) (  81,   81)
          (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81)
          (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81)
          (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81)
          (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81)
          (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81)
          (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81)
          (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81)
          (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81)
          (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81) (  81,   81)
          (  81,   81) (  81,   81) (  73,   72) (  73,   64) (  73,   64) (  73,   64) (  73,   64) (  72,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
          (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64) (  64,   64)
